ID;ancient_toponym;modern_location;longitude;latitude
2.06.16.04;Mouth of the Ebro;Mouth of the Ebro;0,612222;40,705833
2.06.16.05;Middle of the Ebro;;;
2.06.16.06;Source of the Ebro;;;
2.06.17.02;Tarraco;Tarragona;1,2525;41,115278
2.06.17.03;Subur;Subirats;1,797222;41,384167
2.06.18.02;Barcino;Barcelona;2,176667;41,383056
2.06.18.03;Mouth of the Rubricatus;Mouth of the Llobregat;2,123889;41,31
2.06.18.04;Baetulo;Badalona;2,248056;41,450833
2.06.18.05;Cape Lunarium;Cap Begur;3,234444;41,955278
2.06.18.06;Iluro;Matar¢;2,451111;41,540556
2.06.18.07;Blanda;Blanes;2,79;41,675556
2.06.20.02;Mouth of the Sambroca;Mouth of the Ter;3,192222;42,023611
2.06.20.03;Emporiae;Emp£ries;3,1175;42,134167
2.06.20.04;Mouth of the Clodianus;Mouth of the FluviÖ;3,109167;42,201667
2.06.20.05;Rhode;Roses;3,185;42,267778
2.06.20.06;Sanctuary of Venus;Cap BÇar;3,093889;42,518611
2.06.21.02;Vindium Mountain (W);Cordillera Cant†brica, near Quiroga;-7,275342;42,484731
2.06.21.03;Vindium Mountain (E);Cordillera Cant†brica, near Aguilar de Campo;-4,273853;42,817522
2.06.21.04;Edulium Mountain (W);;;
2.06.21.05;Edulium Mountain (E);;;
2.06.21.06;Idubeda Mountain (N);Sistema IbÇrico, near Soria;-2,647792;41,91235
2.06.21.07;Idubeda Mountain (S);Sistema IbÇrico, near Cuenca;-1,582658;39,918494
2.06.21.08;Orospeda Mountain (SW);Cordilleras BÇticas;-3,605878;37,1292
2.06.21.09;Orospeda Mountain (NE);Cordilleras BÇticas;-0,851028;38,985178
2.06.22.03;Claudionerion;;;
2.06.22.04;Novion;;;
2.06.23.02;Bouron;Vila de Bares;-7,684967;43,771739
2.06.23.03;Olina;;;
2.06.23.04;Ouika;;;
2.06.23.05;Libounka;;;
2.06.23.06;Pintia;;;
2.06.23.07;Carionion;Guitir°z;-7,897517;43,181769
2.06.23.08;Turuptiana;;;
2.06.23.09;Glandomiron;;;
2.06.23.10;Ocelum;;;
2.06.23.11;Turriga;;;
2.06.24.02;Iria Flavia;Padr¢n;-8,660803;42,737997
2.06.24.03;Lucus Augusti;Lugo;-7,557683;43,011283
2.06.25.02;Hydata Therma [Cilenorum];Caldas de Reis;-8,642633;42,604183
2.06.25.04;Dactonium;Monforte de Lemos;-7,510567;42,5237
2.06.26.02;Flavia Lambris;;;
2.06.27.02;Talamine;;;
2.06.27.03;Aquae Quintinae;Ba§os de Gunt°n;-7,701253;42,887211
2.06.28.02;Lucus Asturum;near La Casta§era;-5,824239;43,4406
2.06.28.03;Labernis;;;
2.06.28.04;Interamnium;;;
2.06.28.05;Argenteola;;;
2.06.29.01;Lankiatoi/Ankiatai;near Villasabariego;-5,431117;42,530278
2.06.29.02;Maliaca;;;
2.06.29.03;Gigia;Gij¢n;-5,662881;43,543303
2.06.29.04;Bergidum Flavium;;;
2.06.29.05;Interamnium Flavium;;;
2.06.29.06;Legio VII Gemina;Le¢n;-5,567531;42,59845
2.06.30.02;Brigaecium;;;
2.06.31.02;Baedunia;;;
2.06.32.02;Intercatia [Asturiae];;;
2.06.33.02;Paelontium;;;
2.06.34.02;Nardinium;;;
2.06.35.02;Petavonium;near Rosinos de Vidriales;-5,997858;42,088644
2.06.36.02;Asturica Augusta;Astorga;-6,053181;42,454778
2.06.37.02;Nemetobriga;;;
2.06.38.02;Forum Gigurrorum;;;
2.06.39.04;Bracara Augusta;Braga;-8,429289;41,546889
2.06.39.05;Caladanum;;;
2.06.39.06;Pinetum;;;
2.06.39.07;Complutica;;;
2.06.39.08;Tuntobriga;;;
2.06.39.09;Araducca;;;
2.06.40.02;Aquae Flaviae;Chaves;-7,468314;41,743722
2.06.41.02;Volobriga;;;
2.06.42.02;Coeliobriga;;;
2.06.43.02;Forum Bibalorum;;;
2.06.44.02;Forum Limicorum;Xinzo de Limia;-7,725039;42,063208
2.06.45.02;Tude;T£y;-8,646275;42,050061
2.06.46.02;Merua;;;
2.06.47.02;Aquae Quaquernae;near Bande;-7,973261;42,032617
2.06.48.02;Cambaetum;;;
2.06.49.02;Forum Narbasorum;;;
2.06.50.02;Bargiacis;;;
2.06.50.03;Intercatia [Vaccaeorum];Villanueva del Campo;-5,406142;41,984978
2.06.50.04;Viminacium;;;
2.06.50.05;Porta Augusta;;;
2.06.50.06;Autraca;;;
2.06.50.07;Lacobriga;;;
2.06.50.08;Avia;;;
2.06.50.09;Segontia Paramica [Vaccaeorum];;;
2.06.50.10;Gella;;;
2.06.50.11;Albocela;;;
2.06.50.12;Rauda;Roa de Duero;-3,92861;41,69667
